Month,Views
0,1
1,2
2,2
3,2
4,100
5,67
6,67
7,42
8,33
9,32
10,25
11,16
12,14
13,12
14,13
15,12
16,13
17,11
18,11
19,10
20,9
21,7
22,6
23,5
24,7
25,7
26,7
27,9
28,7
29,7
30,8
31,7
32,5
33,5
34,4
35,4
36,5
37,5
38,7
39,24
40,12
41,11
42,13
43,16
44,17
45,12
46,12
47,8
48,8
49,8
50,8
51,9
52,8
53,7
54,5
55,5
56,4
57,4
58,3
59,4
60,4
61,5
62,6
63,7
64,5
65,5
66,5
67,4
68,4
69,3
70,4
71,3
72,4
73,5
74,5
75,5
76,6
77,4
78,3
79,3
80,3
81,3
82,3
83,3
84,3
85,4
86,4
87,5
88,5
89,4
90,3
91,3
92,2
93,2
94,2
95,2
96,3
97,2
98,4
99,4
100,4
101,3
102,4
103,3
104,2
105,3
106,2
107,3
108,2
109,3
110,3
