Category: All categories

Month,trollface: (United States)
2008-10,0
2008-11,1
2008-12,0
2009-01,0
2009-02,0
2009-03,1
2009-04,1
2009-05,2
2009-06,2
2009-07,4
2009-08,5
2009-09,5
2009-10,5
2009-11,7
2009-12,6
2010-01,7
2010-02,11
2010-03,15
2010-04,15
2010-05,18
2010-06,28
2010-07,22
2010-08,27
2010-09,34
2010-10,45
2010-11,55
2010-12,59
2011-01,58
2011-02,76
2011-03,73
2011-04,95
2011-05,81
2011-06,91
2011-07,87
2011-08,93
2011-09,82
2011-10,99
2011-11,100
2011-12,95
2012-01,98
2012-02,97
2012-03,97
2012-04,87
2012-05,73
2012-06,71
2012-07,64
2012-08,64
2012-09,59
2012-10,59
2012-11,51
2012-12,53
2013-01,44
2013-02,40
2013-03,42
2013-04,38
2013-05,33
2013-06,30
2013-07,33
2013-08,28
2013-09,23
2013-10,26
2013-11,29
2013-12,23
2014-01,21
2014-02,21
2014-03,23
2014-04,23
2014-05,24
