Category: All categories

Month,uber: (Worldwide)
2012-04,4
2012-05,5
2012-06,4
2012-07,4
2012-08,4
2012-09,4
2012-10,4
2012-11,4
2012-12,4
2013-01,4
2013-02,4
2013-03,4
2013-04,4
2013-05,4
2013-06,5
2013-07,5
2013-08,6
2013-09,6
2013-10,6
2013-11,7
2013-12,8
2014-01,9
2014-02,9
2014-03,10
2014-04,11
2014-05,16
2014-06,20
2014-07,20
2014-08,21
2014-09,21
2014-10,23
2014-11,28
2014-12,34
2015-01,25
2015-02,28
2015-03,32
2015-04,39
2015-05,43
2015-06,50
2015-07,55
2015-08,55
2015-09,53
2015-10,54
2015-11,54
2015-12,56
2016-01,58
2016-02,61
2016-03,61
2016-04,70
2016-05,73
2016-06,73
2016-07,80
2016-08,81
2016-09,87
2016-10,89
2016-11,89
2016-12,94
2017-01,92
2017-02,88
2017-03,88
2017-04,87
2017-05,86
2017-06,94
2017-07,92
2017-08,87
2017-09,88
2017-10,83
2017-11,83
2017-12,83
2018-01,76
2018-02,78
2018-03,91
2018-04,76
2018-05,80
2018-06,82
2018-07,82
2018-08,85
2018-09,82
2018-10,84
2018-11,85
2018-12,87
2019-01,85
2019-02,85
2019-03,83
2019-04,87
2019-05,100
2019-06,92
